Overall Metrics
total_tasks: 256
first_start_ms: 0.000
last_finish_ms: 10194.000
makespan_ms: 10194.000
deadline_miss_count: 215
deadline_miss_rate: 0.839844
max_tardiness_ms: 9594.000
average_tardiness_ms: 2940.793

Per-Task Results
task_name,device_name,start_ms,end_ms,deadline_ms,deadline_status,tardiness_ms
R1_VIT1,Jetson_1,0.000,112.000,400.000,OK,0.000
R2_VIT1,Jetson_2,0.000,112.000,400.000,OK,0.000
R3_VIT1,Jetson_3,0.000,112.000,400.000,OK,0.000
R1_VIT2,A6000,140.000,180.000,400.000,OK,0.000
R2_VIT2,Blackwell,149.000,198.000,400.000,OK,0.000
R34_VIT1,A6000,180.000,220.000,400.000,OK,0.000
R34_VIT2,Blackwell,287.000,336.000,400.000,OK,0.000
R10_VIT1,Jetson_17,236.000,348.000,400.000,OK,0.000
R11_VIT1,Jetson_19,236.000,348.000,400.000,OK,0.000
R12_VIT1,Jetson_21,236.000,348.000,400.000,OK,0.000
R13_VIT1,Jetson_23,236.000,348.000,400.000,OK,0.000
R14_VIT1,Jetson_25,236.000,348.000,400.000,OK,0.000
R15_VIT1,Jetson_27,236.000,348.000,400.000,OK,0.000
R16_VIT1,Jetson_29,236.000,348.000,400.000,OK,0.000
R17_VIT1,Jetson_31,236.000,348.000,400.000,OK,0.000
R18_VIT1,Jetson_33,236.000,348.000,400.000,OK,0.000
R19_VIT1,Jetson_35,236.000,348.000,400.000,OK,0.000
R20_VIT1,Jetson_37,236.000,348.000,400.000,OK,0.000
R21_VIT1,Jetson_39,236.000,348.000,400.000,OK,0.000
R22_VIT1,Jetson_41,236.000,348.000,400.000,OK,0.000
R23_VIT1,Jetson_43,236.000,348.000,400.000,OK,0.000
R24_VIT1,Jetson_45,236.000,348.000,400.000,OK,0.000
R25_VIT1,Jetson_47,236.000,348.000,400.000,OK,0.000
R26_VIT1,Jetson_49,236.000,348.000,400.000,OK,0.000
R27_VIT1,Jetson_51,236.000,348.000,400.000,OK,0.000
R28_VIT1,Jetson_53,236.000,348.000,400.000,OK,0.000
R29_VIT1,Jetson_55,236.000,348.000,400.000,OK,0.000
R30_VIT1,Jetson_57,236.000,348.000,400.000,OK,0.000
R31_VIT1,Jetson_59,236.000,348.000,400.000,OK,0.000
R32_VIT1,Jetson_61,236.000,348.000,400.000,OK,0.000
R33_VIT1,Jetson_63,236.000,348.000,400.000,OK,0.000
R35_VIT2,Jetson_1,236.000,348.000,400.000,OK,0.000
R36_VIT2,Jetson_2,236.000,348.000,400.000,OK,0.000
R37_VIT2,Jetson_3,236.000,348.000,400.000,OK,0.000
R3_VIT2,Jetson_4,236.000,348.000,400.000,OK,0.000
R4_VIT1,Jetson_5,236.000,348.000,400.000,OK,0.000
R5_VIT1,Jetson_7,236.000,348.000,400.000,OK,0.000
R6_VIT1,Jetson_9,236.000,348.000,400.000,OK,0.000
R7_VIT1,Jetson_11,236.000,348.000,400.000,OK,0.000
R8_VIT1,Jetson_13,236.000,348.000,400.000,OK,0.000
R9_VIT1,Jetson_15,236.000,348.000,400.000,OK,0.000
R35_VIT1,Jetson_35,348.000,460.000,400.000,MISSED,60.000
R37_VIT1,Jetson_37,348.000,460.000,400.000,MISSED,60.000
R38_VIT2,Jetson_4,348.000,460.000,400.000,MISSED,60.000
R39_VIT1,Jetson_39,348.000,460.000,400.000,MISSED,60.000
R39_VIT2,Jetson_5,348.000,460.000,400.000,MISSED,60.000
R41_VIT1,Jetson_41,348.000,460.000,400.000,MISSED,60.000
R41_VIT2,Jetson_7,348.000,460.000,400.000,MISSED,60.000
R43_VIT1,Jetson_43,348.000,460.000,400.000,MISSED,60.000
R43_VIT2,Jetson_9,348.000,460.000,400.000,MISSED,60.000
R45_VIT1,Jetson_45,348.000,460.000,400.000,MISSED,60.000
R45_VIT2,Jetson_11,348.000,460.000,400.000,MISSED,60.000
R47_VIT1,Jetson_47,348.000,460.000,400.000,MISSED,60.000
R47_VIT2,Jetson_13,348.000,460.000,400.000,MISSED,60.000
R49_VIT1,Jetson_49,348.000,460.000,400.000,MISSED,60.000
R49_VIT2,Jetson_15,348.000,460.000,400.000,MISSED,60.000
R51_VIT1,Jetson_51,348.000,460.000,400.000,MISSED,60.000
R51_VIT2,Jetson_19,348.000,460.000,400.000,MISSED,60.000
R52_VIT2,Jetson_17,348.000,460.000,400.000,MISSED,60.000
R53_VIT1,Jetson_53,348.000,460.000,400.000,MISSED,60.000
R55_VIT1,Jetson_55,348.000,460.000,400.000,MISSED,60.000
R55_VIT2,Jetson_21,348.000,460.000,400.000,MISSED,60.000
R57_VIT1,Jetson_57,348.000,460.000,400.000,MISSED,60.000
R57_VIT2,Jetson_23,348.000,460.000,400.000,MISSED,60.000
R59_VIT1,Jetson_59,348.000,460.000,400.000,MISSED,60.000
R59_VIT2,Jetson_27,348.000,460.000,400.000,MISSED,60.000
R60_VIT2,Jetson_25,348.000,460.000,400.000,MISSED,60.000
R61_VIT1,Jetson_61,348.000,460.000,400.000,MISSED,60.000
R63_VIT1,Jetson_63,348.000,460.000,400.000,MISSED,60.000
R63_VIT2,Jetson_29,348.000,460.000,400.000,MISSED,60.000
R10_VIT2,Jetson_18,470.000,582.000,400.000,MISSED,182.000
R11_VIT2,Jetson_20,470.000,582.000,400.000,MISSED,182.000
R12_VIT2,Jetson_22,470.000,582.000,400.000,MISSED,182.000
R13_VIT2,Jetson_24,470.000,582.000,400.000,MISSED,182.000
R14_VIT2,Jetson_26,470.000,582.000,400.000,MISSED,182.000
R15_VIT2,Jetson_28,470.000,582.000,400.000,MISSED,182.000
R16_VIT2,Jetson_30,470.000,582.000,400.000,MISSED,182.000
R17_VIT2,Jetson_32,470.000,582.000,400.000,MISSED,182.000
R18_VIT2,Jetson_34,470.000,582.000,400.000,MISSED,182.000
R19_VIT2,Jetson_36,470.000,582.000,400.000,MISSED,182.000
R20_VIT2,Jetson_38,470.000,582.000,400.000,MISSED,182.000
R21_VIT2,Jetson_40,470.000,582.000,400.000,MISSED,182.000
R22_VIT2,Jetson_42,470.000,582.000,400.000,MISSED,182.000
R23_VIT2,Jetson_44,470.000,582.000,400.000,MISSED,182.000
R24_VIT2,Jetson_46,470.000,582.000,400.000,MISSED,182.000
R25_VIT2,Jetson_48,470.000,582.000,400.000,MISSED,182.000
R26_VIT2,Jetson_50,470.000,582.000,400.000,MISSED,182.000
R27_VIT2,Jetson_52,470.000,582.000,400.000,MISSED,182.000
R28_VIT2,Jetson_54,470.000,582.000,400.000,MISSED,182.000
R29_VIT2,Jetson_56,470.000,582.000,400.000,MISSED,182.000
R30_VIT2,Jetson_58,470.000,582.000,400.000,MISSED,182.000
R31_VIT2,Jetson_60,470.000,582.000,400.000,MISSED,182.000
R32_VIT2,Jetson_62,470.000,582.000,400.000,MISSED,182.000
R33_VIT2,Jetson_64,470.000,582.000,400.000,MISSED,182.000
R4_VIT2,Jetson_6,470.000,582.000,400.000,MISSED,182.000
R5_VIT2,Jetson_8,470.000,582.000,400.000,MISSED,182.000
R6_VIT2,Jetson_10,470.000,582.000,400.000,MISSED,182.000
R7_VIT2,Jetson_12,470.000,582.000,400.000,MISSED,182.000
R8_VIT2,Jetson_14,470.000,582.000,400.000,MISSED,182.000
R9_VIT2,Jetson_16,470.000,582.000,400.000,MISSED,182.000
R36_VIT1,Jetson_36,582.000,694.000,400.000,MISSED,294.000
R38_VIT1,Jetson_38,582.000,694.000,400.000,MISSED,294.000
R40_VIT1,Jetson_40,582.000,694.000,400.000,MISSED,294.000
R40_VIT2,Jetson_6,582.000,694.000,400.000,MISSED,294.000
R42_VIT1,Jetson_42,582.000,694.000,400.000,MISSED,294.000
R42_VIT2,Jetson_8,582.000,694.000,400.000,MISSED,294.000
R44_VIT1,Jetson_44,582.000,694.000,400.000,MISSED,294.000
R44_VIT2,Jetson_10,582.000,694.000,400.000,MISSED,294.000
R46_VIT1,Jetson_46,582.000,694.000,400.000,MISSED,294.000
R46_VIT2,Jetson_12,582.000,694.000,400.000,MISSED,294.000
R48_VIT1,Jetson_48,582.000,694.000,400.000,MISSED,294.000
R48_VIT2,Jetson_14,582.000,694.000,400.000,MISSED,294.000
R50_VIT1,Jetson_50,582.000,694.000,400.000,MISSED,294.000
R50_VIT2,Jetson_16,582.000,694.000,400.000,MISSED,294.000
R52_VIT1,Jetson_52,582.000,694.000,400.000,MISSED,294.000
R53_VIT2,Jetson_20,582.000,694.000,400.000,MISSED,294.000
R54_VIT1,Jetson_54,582.000,694.000,400.000,MISSED,294.000
R54_VIT2,Jetson_18,582.000,694.000,400.000,MISSED,294.000
R56_VIT1,Jetson_56,582.000,694.000,400.000,MISSED,294.000
R56_VIT2,Jetson_22,582.000,694.000,400.000,MISSED,294.000
R58_VIT1,Jetson_58,582.000,694.000,400.000,MISSED,294.000
R58_VIT2,Jetson_24,582.000,694.000,400.000,MISSED,294.000
R60_VIT1,Jetson_60,582.000,694.000,400.000,MISSED,294.000
R61_VIT2,Jetson_28,582.000,694.000,400.000,MISSED,294.000
R62_VIT1,Jetson_62,582.000,694.000,400.000,MISSED,294.000
R62_VIT2,Jetson_26,582.000,694.000,400.000,MISSED,294.000
R64_VIT1,Jetson_64,582.000,694.000,400.000,MISSED,294.000
R64_VIT2,Jetson_30,582.000,694.000,400.000,MISSED,294.000
R1_LLM2,A6000,220.000,709.000,600.000,MISSED,109.000
R2_LLM2,Blackwell,336.000,926.000,600.000,MISSED,326.000
R3_LLM2,A6000,709.000,1198.000,600.000,MISSED,598.000
R4_LLM1,Blackwell,926.000,1516.000,600.000,MISSED,916.000
R4_LLM2,A6000,1198.000,1687.000,600.000,MISSED,1087.000
R5_LLM1,Blackwell,1516.000,2106.000,600.000,MISSED,1506.000
R5_LLM2,A6000,1687.000,2176.000,600.000,MISSED,1576.000
R6_LLM2,A6000,2176.000,2665.000,600.000,MISSED,2065.000
R6_LLM1,Blackwell,2106.000,2696.000,600.000,MISSED,2096.000
R8_LLM2,A6000,2665.000,3154.000,600.000,MISSED,2554.000
R7_LLM2,Blackwell,2696.000,3286.000,600.000,MISSED,2686.000
R35_LLM1,A6000,3154.000,3643.000,600.000,MISSED,3043.000
R9_LLM2,Blackwell,3286.000,3876.000,600.000,MISSED,3276.000
R10_LLM2,A6000,3643.000,4132.000,600.000,MISSED,3532.000
R12_LLM2,Blackwell,3876.000,4466.000,600.000,MISSED,3866.000
R36_LLM1,A6000,4132.000,4621.000,600.000,MISSED,4021.000
R18_LLM1,Jetson_33,348.000,5036.000,600.000,MISSED,4436.000
R36_LLM2,Jetson_2,348.000,5036.000,600.000,MISSED,4436.000
R14_LLM2,Blackwell,4466.000,5056.000,600.000,MISSED,4456.000
R1_LLM1,Jetson_31,374.000,5062.000,600.000,MISSED,4462.000
R16_LLM2,A6000,4621.000,5110.000,600.000,MISSED,4510.000
R10_LLM1,Jetson_17,460.000,5148.000,600.000,MISSED,4548.000
R11_LLM1,Jetson_19,460.000,5148.000,600.000,MISSED,4548.000
R12_LLM1,Jetson_21,460.000,5148.000,600.000,MISSED,4548.000
R13_LLM1,Jetson_23,460.000,5148.000,600.000,MISSED,4548.000
R14_LLM1,Jetson_25,460.000,5148.000,600.000,MISSED,4548.000
R15_LLM1,Jetson_27,460.000,5148.000,600.000,MISSED,4548.000
R16_LLM1,Jetson_29,460.000,5148.000,600.000,MISSED,4548.000
R19_LLM1,Jetson_35,460.000,5148.000,600.000,MISSED,4548.000
R20_LLM1,Jetson_37,460.000,5148.000,600.000,MISSED,4548.000
R21_LLM1,Jetson_39,460.000,5148.000,600.000,MISSED,4548.000
R23_LLM1,Jetson_43,460.000,5148.000,600.000,MISSED,4548.000
R27_LLM1,Jetson_51,460.000,5148.000,600.000,MISSED,4548.000
R39_LLM2,Jetson_5,460.000,5148.000,600.000,MISSED,4548.000
R43_LLM2,Jetson_9,460.000,5148.000,600.000,MISSED,4548.000
R7_LLM1,Jetson_11,460.000,5148.000,600.000,MISSED,4548.000
R8_LLM1,Jetson_13,460.000,5148.000,600.000,MISSED,4548.000
R9_LLM1,Jetson_15,460.000,5148.000,600.000,MISSED,4548.000
R2_LLM1,Jetson_34,582.000,5270.000,600.000,MISSED,4670.000
R3_LLM1,Jetson_32,582.000,5270.000,600.000,MISSED,4670.000
R25_LLM1,Jetson_53,584.000,5272.000,600.000,MISSED,4672.000
R28_LLM1,Jetson_59,584.000,5272.000,600.000,MISSED,4672.000
R31_LLM1,Jetson_49,584.000,5272.000,600.000,MISSED,4672.000
R11_LLM2,Jetson_20,694.000,5382.000,600.000,MISSED,4782.000
R13_LLM2,Jetson_24,694.000,5382.000,600.000,MISSED,4782.000
R15_LLM2,Jetson_28,694.000,5382.000,600.000,MISSED,4782.000
R19_LLM2,Jetson_36,694.000,5382.000,600.000,MISSED,4782.000
R22_LLM1,Jetson_46,694.000,5382.000,600.000,MISSED,4782.000
R24_LLM1,Jetson_52,694.000,5382.000,600.000,MISSED,4782.000
R26_LLM1,Jetson_14,694.000,5382.000,600.000,MISSED,4782.000
R29_LLM1,Jetson_48,694.000,5382.000,600.000,MISSED,4782.000
R30_LLM1,Jetson_64,694.000,5382.000,600.000,MISSED,4782.000
R32_LLM1,Jetson_22,694.000,5382.000,600.000,MISSED,4782.000
R35_LLM2,Jetson_18,694.000,5382.000,600.000,MISSED,4782.000
R37_LLM1,Jetson_38,696.000,5384.000,600.000,MISSED,4784.000
R39_LLM1,Jetson_40,696.000,5384.000,600.000,MISSED,4784.000
R43_LLM1,Jetson_41,696.000,5384.000,600.000,MISSED,4784.000
R51_LLM1,Jetson_44,696.000,5384.000,600.000,MISSED,4784.000
R17_LLM1,Jetson_1,704.000,5392.000,600.000,MISSED,4792.000
R37_LLM2,Jetson_4,704.000,5392.000,600.000,MISSED,4792.000
R51_LLM2,Jetson_54,704.000,5392.000,600.000,MISSED,4792.000
R17_LLM2,Jetson_3,818.000,5506.000,600.000,MISSED,4906.000
R18_LLM2,Jetson_58,818.000,5506.000,600.000,MISSED,4906.000
R20_LLM2,Jetson_42,818.000,5506.000,600.000,MISSED,4906.000
R21_LLM2,Jetson_45,818.000,5506.000,600.000,MISSED,4906.000
R22_LLM2,Jetson_60,818.000,5506.000,600.000,MISSED,4906.000
R23_LLM2,Jetson_47,818.000,5506.000,600.000,MISSED,4906.000
R24_LLM2,Jetson_61,818.000,5506.000,600.000,MISSED,4906.000
R27_LLM2,Jetson_55,818.000,5506.000,600.000,MISSED,4906.000
R28_LLM2,Jetson_62,818.000,5506.000,600.000,MISSED,4906.000
R29_LLM2,Jetson_63,818.000,5506.000,600.000,MISSED,4906.000
R31_LLM2,Jetson_16,818.000,5506.000,600.000,MISSED,4906.000
R41_LLM1,Jetson_56,818.000,5506.000,600.000,MISSED,4906.000
R47_LLM1,Jetson_7,818.000,5506.000,600.000,MISSED,4906.000
R53_LLM1,Jetson_8,818.000,5506.000,600.000,MISSED,4906.000
R55_LLM1,Jetson_10,818.000,5506.000,600.000,MISSED,4906.000
R59_LLM1,Jetson_12,818.000,5506.000,600.000,MISSED,4906.000
R38_LLM2,Jetson_26,842.000,5530.000,600.000,MISSED,4930.000
R45_LLM1,A6000,5110.000,5599.000,600.000,MISSED,4999.000
R40_LLM2,Jetson_30,956.000,5644.000,600.000,MISSED,5044.000
R52_LLM1,Blackwell,5056.000,5646.000,600.000,MISSED,5046.000
R38_LLM1,Jetson_6,1052.000,5740.000,600.000,MISSED,5140.000
R40_LLM1,Jetson_50,1052.000,5740.000,600.000,MISSED,5140.000
R44_LLM1,Jetson_57,1052.000,5740.000,600.000,MISSED,5140.000
R25_LLM2,A6000,5599.000,6088.000,600.000,MISSED,5488.000
R33_LLM1,Blackwell,5646.000,6236.000,600.000,MISSED,5636.000
R34_LLM1,A6000,6088.000,6577.000,600.000,MISSED,5977.000
R42_LLM1,Blackwell,6236.000,6826.000,600.000,MISSED,6226.000
R46_LLM1,A6000,6577.000,7066.000,600.000,MISSED,6466.000
R34_LLM2,Blackwell,6826.000,7416.000,600.000,MISSED,6816.000
R26_LLM2,A6000,7066.000,7555.000,600.000,MISSED,6955.000
R30_LLM2,Blackwell,7416.000,8006.000,600.000,MISSED,7406.000
R50_LLM1,A6000,7555.000,8044.000,600.000,MISSED,7444.000
R50_LLM2,A6000,8044.000,8533.000,600.000,MISSED,7933.000
R58_LLM1,Blackwell,8006.000,8596.000,600.000,MISSED,7996.000
R58_LLM2,Blackwell,8596.000,9186.000,600.000,MISSED,8586.000
R54_LLM1,Jetson_33,5036.000,9724.000,600.000,MISSED,9124.000
R55_LLM2,Jetson_2,5036.000,9724.000,600.000,MISSED,9124.000
R33_LLM2,Jetson_31,5062.000,9750.000,600.000,MISSED,9150.000
R32_LLM2,Jetson_27,5148.000,9836.000,600.000,MISSED,9236.000
R41_LLM2,Jetson_35,5148.000,9836.000,600.000,MISSED,9236.000
R45_LLM2,Jetson_37,5148.000,9836.000,600.000,MISSED,9236.000
R47_LLM2,Jetson_39,5148.000,9836.000,600.000,MISSED,9236.000
R48_LLM1,Jetson_9,5148.000,9836.000,600.000,MISSED,9236.000
