Overall Metrics
total_tasks: 64
first_start_ms: 0.000
last_finish_ms: 5599.000
makespan_ms: 5599.000
deadline_miss_count: 47
deadline_miss_rate: 0.734375
max_tardiness_ms: 4999.000
average_tardiness_ms: 1716.109

Per-Task Results
task_name,device_name,start_ms,end_ms,deadline_ms,deadline_status,tardiness_ms
R1_VIT1,Jetson_1,0.000,112.000,400.000,OK,0.000
R2_VIT1,Jetson_2,0.000,112.000,400.000,OK,0.000
R3_VIT1,Jetson_3,0.000,112.000,400.000,OK,0.000
R1_VIT2,A6000,140.000,180.000,400.000,OK,0.000
R2_VIT2,Blackwell,149.000,198.000,400.000,OK,0.000
R10_VIT1,A6000,180.000,220.000,400.000,OK,0.000
R10_VIT2,Blackwell,287.000,336.000,400.000,OK,0.000
R11_VIT2,Jetson_1,236.000,348.000,400.000,OK,0.000
R12_VIT2,Jetson_2,236.000,348.000,400.000,OK,0.000
R13_VIT2,Jetson_3,236.000,348.000,400.000,OK,0.000
R3_VIT2,Jetson_4,236.000,348.000,400.000,OK,0.000
R4_VIT1,Jetson_5,236.000,348.000,400.000,OK,0.000
R5_VIT1,Jetson_7,236.000,348.000,400.000,OK,0.000
R6_VIT1,Jetson_9,236.000,348.000,400.000,OK,0.000
R7_VIT1,Jetson_11,236.000,348.000,400.000,OK,0.000
R8_VIT1,Jetson_13,236.000,348.000,400.000,OK,0.000
R9_VIT1,Jetson_15,236.000,348.000,400.000,OK,0.000
R11_VIT1,Jetson_11,348.000,460.000,400.000,MISSED,60.000
R13_VIT1,Jetson_13,348.000,460.000,400.000,MISSED,60.000
R14_VIT2,Jetson_4,348.000,460.000,400.000,MISSED,60.000
R15_VIT1,Jetson_15,348.000,460.000,400.000,MISSED,60.000
R15_VIT2,Jetson_5,348.000,460.000,400.000,MISSED,60.000
R4_VIT2,Jetson_6,470.000,582.000,400.000,MISSED,182.000
R5_VIT2,Jetson_8,470.000,582.000,400.000,MISSED,182.000
R6_VIT2,Jetson_10,470.000,582.000,400.000,MISSED,182.000
R7_VIT2,Jetson_12,470.000,582.000,400.000,MISSED,182.000
R8_VIT2,Jetson_14,470.000,582.000,400.000,MISSED,182.000
R9_VIT2,Jetson_16,470.000,582.000,400.000,MISSED,182.000
R12_VIT1,Jetson_12,582.000,694.000,400.000,MISSED,294.000
R14_VIT1,Jetson_14,582.000,694.000,400.000,MISSED,294.000
R16_VIT1,Jetson_16,582.000,694.000,400.000,MISSED,294.000
R16_VIT2,Jetson_6,582.000,694.000,400.000,MISSED,294.000
R1_LLM2,A6000,220.000,709.000,600.000,MISSED,109.000
R2_LLM2,Blackwell,336.000,926.000,600.000,MISSED,326.000
R3_LLM2,A6000,709.000,1198.000,600.000,MISSED,598.000
R4_LLM1,Blackwell,926.000,1516.000,600.000,MISSED,916.000
R4_LLM2,A6000,1198.000,1687.000,600.000,MISSED,1087.000
R5_LLM1,Blackwell,1516.000,2106.000,600.000,MISSED,1506.000
R5_LLM2,A6000,1687.000,2176.000,600.000,MISSED,1576.000
R11_LLM1,A6000,2176.000,2665.000,600.000,MISSED,2065.000
R6_LLM1,Blackwell,2106.000,2696.000,600.000,MISSED,2096.000
R6_LLM2,A6000,2665.000,3154.000,600.000,MISSED,2554.000
R7_LLM2,Blackwell,2696.000,3286.000,600.000,MISSED,2686.000
R10_LLM1,A6000,3154.000,3643.000,600.000,MISSED,3043.000
R12_LLM1,Blackwell,3286.000,3876.000,600.000,MISSED,3276.000
R13_LLM1,A6000,3643.000,4132.000,600.000,MISSED,3532.000
R10_LLM2,Blackwell,3876.000,4466.000,600.000,MISSED,3866.000
R8_LLM2,A6000,4132.000,4621.000,600.000,MISSED,4021.000
R11_LLM2,Jetson_1,348.000,5036.000,600.000,MISSED,4436.000
R12_LLM2,Jetson_2,348.000,5036.000,600.000,MISSED,4436.000
R13_LLM2,Jetson_3,348.000,5036.000,600.000,MISSED,4436.000
R9_LLM2,Blackwell,4466.000,5056.000,600.000,MISSED,4456.000
R1_LLM1,Jetson_7,374.000,5062.000,600.000,MISSED,4462.000
R14_LLM1,A6000,4621.000,5110.000,600.000,MISSED,4510.000
R7_LLM1,Jetson_11,460.000,5148.000,600.000,MISSED,4548.000
R8_LLM1,Jetson_13,460.000,5148.000,600.000,MISSED,4548.000
R9_LLM1,Jetson_15,460.000,5148.000,600.000,MISSED,4548.000
R2_LLM1,Jetson_10,582.000,5270.000,600.000,MISSED,4670.000
R3_LLM1,Jetson_8,582.000,5270.000,600.000,MISSED,4670.000
R16_LLM1,Jetson_16,694.000,5382.000,600.000,MISSED,4782.000
R16_LLM2,Jetson_6,694.000,5382.000,600.000,MISSED,4782.000
R15_LLM1,Jetson_5,696.000,5384.000,600.000,MISSED,4784.000
R15_LLM2,Jetson_4,851.000,5539.000,600.000,MISSED,4939.000
R14_LLM2,A6000,5110.000,5599.000,600.000,MISSED,4999.000
